SUID,annotation name,annotations,Betweenness unDir,Bridging unDir,Centroid unDir,Closeness unDir,Degree unDir,Eccentricity unDir,EigenVector unDir,Ensembl Gene ID,Ensembl Protein ID,Entrez Gene ID,gene name,log score,name,node type,Radiality unDir,RefSeq mRNA ID,RefSeq Protein ID,score,selected,shared name,Stress unDir,Synonym,Uniprot ID
610,a,GO:2000811|GO:0071375|GO:0050852|GO:0048011|GO:0043434|GO:0010631|GO:0032868|GO:0051251|GO:0016303|GO:0038095|GO:0030168|GO:0032869|GO:0038093|GO:0046488|GO:0036092|GO:0007173|GO:0044344|GO:0008286|GO:0051249|GO:1901652|GO:0008543|GO:0002696|GO:0050867|GO:0050863|GO:0038179|GO:0048015|GO:0052742|GO:0043276|GO:0002768|GO:0035004|GO:0050870|GO:0038127|GO:0071774|GO:2000209|GO:0042110|GO:0050865|GO:1901653|GO:0048017|GO:0050851|GO:0044445|GO:0002694|GO:0002429|GO:0006661|GO:0005942,497.4092392,3.834875837,-53,0.002463054,72,0.333333333,0.079489189,ENSG00000121879,ENSP00000418145,5290,PIK3CA,-0.29253446,H__sapiens__2_-Hs:714524,query,2.25751073,NM_006218,NP_006209,0.746369524,FALSE,H__sapiens__2_-Hs:714524,5340,PI3K,PK3CA_HUMAN
611,a,GO:0004402|GO:0035258|GO:0018394|GO:0008080|GO:0047485|GO:0030522|GO:0043543|GO:0016573|GO:0016410|GO:0050681|GO:0035257|GO:0016569|GO:0003713|GO:0030521|GO:0016407|GO:0051427|GO:0006473|GO:0018205|GO:0030518|GO:0018393|GO:0016570|GO:0006475,343.4985198,4.189970033,-69,0.002375297,56,0.333333333,0.061823038,ENSG00000124151,ENSP00000361073,8202,NCOA3,-0.153593864,H__sapiens__2_-Hs:714782,query,2.193133047,NM_181659,NP_858045,0.85762026,FALSE,H__sapiens__2_-Hs:714782,3302,TRAM-1,Q9Y6Q9
613,a,GO:0010638|GO:0035258|GO:0043627|GO:0000725|GO:0006383|GO:0006978|GO:0072331|GO:0048545|GO:0000724|GO:0031398|GO:0071156|GO:0044389|GO:0008630|GO:0033993|GO:0016569|GO:0031625|GO:0003713|GO:0051054|GO:0030521|GO:2001022|GO:0031570|GO:0051427|GO:0006473|GO:0010948|GO:0018205|GO:0016570|GO:0006475|GO:0097305|GO:0006282|GO:0046890|GO:0030330|GO:0030522|GO:0043543|GO:0006310|GO:0010639|GO:0016573|GO:2001020|GO:0000077|GO:0006302|GO:0007050|GO:0031589|GO:0000975|GO:0005924|GO:0071158|GO:0050681|GO:0014070|GO:0045786|GO:0006359|GO:0007098|GO:0000226|GO:0044212|GO:0018394|GO:0097193|GO:0000075|GO:0031058|GO:0009314|GO:0090068|GO:0035257|GO:0001067|GO:0051297|GO:0031396|GO:0042772|GO:0016879|GO:0051865|GO:0042770|GO:0019216|GO:0030518|GO:0018393|GO:0019787|GO:0031056|GO:0033044|GO:0043966|GO:0031023|GO:0016881|GO:0005925|GO:0080135|GO:0031572|GO:0004842|GO:0000209|GO:0051052|GO:0030055|GO:0051129|GO:1902275|GO:0045739|GO:0010212,1005.189214,2.72103232,-23,0.002666667,136,0.5,0.147036884,ENSG00000012048,ENSP00000467329,672,BRCA1,-0.483500065,H__sapiens__2_-Hs:709587,query,2.39055794,NM_007300,NP_009231,0.616621395,FALSE,H__sapiens__2_-Hs:709587,12392,RNF53,P38398
614,a,GO:0000725|GO:0000226|GO:0007098|GO:0050680|GO:0018394|GO:0008080|GO:0000724|GO:0016569|GO:0051297|GO:0006473|GO:0018205|GO:0018393|GO:0016570|GO:0006475|GO:0004402|GO:0002020|GO:0043966|GO:0031023|GO:0043543|GO:0016573|GO:0006310|GO:0006289|GO:0050673|GO:0006302|GO:0003697|GO:0030141|GO:0050678|GO:0016410|GO:0043566|GO:0016407,723.4791213,2.908720765,-40,0.00255102,109,0.333333333,0.123849373,ENSG00000139618,ENSP00000439902,675,BRCA2,-0.35164071,H__sapiens__2_-Hs:717201,query,2.317596567,NM_000059,NP_000050,0.703532849,FALSE,H__sapiens__2_-Hs:717201,8930,FANCD1,P51587
616,a,GO:1902686|GO:0072331|GO:0010165|GO:0051402|GO:1901991|GO:0008270|GO:0048144|GO:0071156|GO:0044389|GO:0008637|GO:0016049|GO:1902402|GO:0032386|GO:0046982|GO:0031625|GO:0010948|GO:0001085|GO:0010332|GO:0043254|GO:0030308|GO:0030971|GO:0070231|GO:0006977|GO:0043525|GO:0019902|GO:0040008|GO:0072431|GO:1901216|GO:0007006|GO:2000108|GO:1902403|GO:1902110|GO:0097193|GO:0032459|GO:0034644|GO:1901214|GO:0000785|GO:0071453|GO:1901028|GO:0045926|GO:0031668|GO:0007568|GO:0031063|GO:0009314|GO:0090068|GO:0009416|GO:0001067|GO:1900739|GO:0009411|GO:0072422|GO:1901990|GO:0000082|GO:0031334|GO:0031056|GO:0071456|GO:2000045|GO:0001558|GO:0071482|GO:0002020|GO:0007219|GO:0007005|GO:0006289|GO:0019903|GO:0070232|GO:0071887|GO:1900740|GO:0016605|GO:0007093|GO:0072655|GO:0031667|GO:1902275|GO:2000134|GO:0072413|GO:0003684|GO:0090399|GO:0010638|GO:0000790|GO:0006978|GO:0071214|GO:0072593|GO:2001233|GO:2000379|GO:0005667|GO:0008630|GO:1902400|GO:2001235|GO:0001844|GO:0034599|GO:0042493|GO:0016569|GO:0071479|GO:0006979|GO:0090199|GO:0070228|GO:0000228|GO:0031570|GO:0071103|GO:0016570|GO:2001244|GO:0003682|GO:0030330|GO:0044774|GO:0043068|GO:0019901|GO:0000077|GO:0070227|GO:0031669|GO:0051204|GO:1901987|GO:0001666|GO:0007050|GO:0000975|GO:0071158|GO:0046902|GO:0009991|GO:0044454|GO:0090150|GO:0036294|GO:0051259|GO:0005524|GO:1901988|GO:0045786|GO:0051205|GO:0070997|GO:0070201|GO:0044212|GO:0047485|GO:0010822|GO:0044783|GO:0007569|GO:0034976|GO:0009636|GO:0007346|GO:1902108|GO:2001242|GO:0000075|GO:0031058|GO:0070482|GO:0032461|GO:0072401|GO:0048145|GO:0043523|GO:0031571|GO:0072332|GO:0042772|GO:2000106|GO:0051346|GO:0042770|GO:0042771|GO:0097285|GO:0071478|GO:0090200|GO:0035794|GO:0001836|GO:0090398|GO:0071216|GO:0033044|GO:0000981|GO:0072395|GO:0016604|GO:0097345|GO:0043065|GO:0010821|GO:2000377|GO:0071496|GO:0010942|GO:0090311|GO:0005657|GO:0002039|GO:0044773|GO:0036293|GO:0044819|GO:0010212,2248.889191,3.466253508,23,0.002840909,163,0.5,0.157928963,ENSG00000141510,ENSP00000473895,7157,TP53,-0.632904904,H__sapiens__2_-Hs:717482,query,2.489270386,NM_001276761,NP_001263690,0.531046918,FALSE,H__sapiens__2_-Hs:717482,22108,p53,P53_HUMAN
617,a,GO:0000725|GO:0071214|GO:0007131|GO:0000724|GO:0035825|GO:0008094|GO:0006261|GO:0071479|GO:0051054|GO:0000018|GO:0000228|GO:0071103|GO:0006260|GO:0006282|GO:0006310|GO:2001020|GO:0006302|GO:0003697|GO:0006266|GO:0016887|GO:0065004|GO:0048285|GO:0014070|GO:0051259|GO:0005524|GO:0048610|GO:0006312|GO:0032508|GO:0032392|GO:0000794|GO:0007127|GO:0009314|GO:0043279|GO:0003690|GO:0007126|GO:0071478|GO:0016604|GO:0008022|GO:0042623|GO:0010569|GO:0000280|GO:0016605|GO:0080135|GO:0000793|GO:0071824|GO:0051052|GO:0043566|GO:2000779|GO:0010212|GO:0051321,291.7886777,2.244148626,-62,0.002415459,79,0.333333333,0.093708427,ENSG00000051180,ENSP00000454176,5888,RAD51,-0.415742956,H__sapiens__2_-Hs:709973,query,2.223175966,NM_133487,NP_597994,0.659849859,FALSE,H__sapiens__2_-Hs:709973,3732,RECA,RAD51_HUMAN
619,a,GO:0070035|GO:0000725|GO:0000781|GO:0072331|GO:0000724|GO:1901991|GO:0060249|GO:0008094|GO:0006261|GO:0031952|GO:0000228|GO:0031570|GO:0071103|GO:0010948|GO:0006260|GO:0030330|GO:0004386|GO:0044774|GO:0006310|GO:0000077|GO:0006302|GO:0006275|GO:1901987|GO:0007050|GO:0016887|GO:0044454|GO:1901988|GO:0045786|GO:0047485|GO:0032508|GO:0007346|GO:0000784|GO:0000075|GO:0000723|GO:0032392|GO:0031954|GO:1901990|GO:0090329|GO:0042770|GO:0003678|GO:0032200|GO:0035861|GO:0016604|GO:0042623|GO:0046777|GO:0016605|GO:0007093|GO:0031572|GO:0008026|GO:0051052|GO:0004003|GO:0003684|GO:0044773,214.6991646,3.896848316,-80,0.002298851,46,0.333333333,0.055972603,ENSG00000104320,ENSP00000430983,4683,NBN,-2.808871665,H__sapiens__2_-Hs:712195,result,2.13304721,NM_002485,NP_002476,0.060272962,FALSE,H__sapiens__2_-Hs:712195,2328,NBS,O60934
620,a,GO:0010506|GO:0031965|GO:0005635|GO:0006914,234.2597008,4.041482459,-74,0.002347418,48,0.333333333,0.062936493,ENSG00000023287,ENSP00000445960,9821,RB1CC1,-0.111048052,H__sapiens__2_-Hs:709705,query,2.17167382,NM_014781,NP_055596,0.894895747,FALSE,H__sapiens__2_-Hs:709705,2944,KIAA0203,RBCC1_HUMAN
622,a,GO:0000725|GO:0071214|GO:0000781|GO:0000724|GO:0004674|GO:0043618|GO:0016569|GO:0000018|GO:0000228|GO:0031570|GO:0006473|GO:0010948|GO:0018205|GO:0051783|GO:0016570|GO:0006475|GO:0006260|GO:0006282|GO:0043543|GO:0006310|GO:0010639|GO:0016573|GO:2001020|GO:0000077|GO:0006302|GO:0007067|GO:0048285|GO:0018210|GO:0045786|GO:0007098|GO:0000226|GO:0018394|GO:0034644|GO:0007569|GO:0000785|GO:0007346|GO:0000075|GO:0006338|GO:0000794|GO:0007568|GO:0009314|GO:0009416|GO:0051297|GO:0043620|GO:0009411|GO:0051302|GO:0071260|GO:0018393|GO:0071478|GO:0031056|GO:0033044|GO:0071482|GO:0043966|GO:0031023|GO:0018107|GO:0010569|GO:0000280|GO:0080135|GO:0000793|GO:0031572|GO:0051052|GO:0007088|GO:0051129|GO:0071496|GO:1902275|GO:0090399|GO:0009612|GO:2000779,537.7256031,1.957897765,-35,0.002583979,124,0.333333333,0.141427991,ENSG00000149554,ENSP00000442317,1111,CHEK1,-3.166501266,H__sapiens__2_-Hs:718595,result,2.339055794,NM_001274,NP_001265,0.042150815,FALSE,H__sapiens__2_-Hs:718595,7278,CHK1,O14757
624,a,GO:0070035|GO:0000725|GO:0000781|GO:0007131|GO:0090305|GO:0000724|GO:0035825|GO:0060249|GO:0004536|GO:0008156|GO:0008094|GO:0006261|GO:0000018|GO:0031952|GO:0071103|GO:0010948|GO:0006260|GO:0008408|GO:0004386|GO:0006310|GO:0044786|GO:0006302|GO:0010833|GO:0006275|GO:0032481|GO:0016887|GO:0006278|GO:0048285|GO:0000726|GO:0048610|GO:0006312|GO:0032508|GO:0006303|GO:0000723|GO:0032392|GO:0031954|GO:0007127|GO:0003690|GO:0007126|GO:0000737|GO:0006308|GO:0090329|GO:0003678|GO:0001819|GO:0032606|GO:0032200|GO:0035861|GO:0051053|GO:0008022|GO:0042623|GO:0032479|GO:0046777|GO:0004527|GO:0000280|GO:0007004|GO:0008026|GO:0051052|GO:0043566|GO:0004003|GO:0004520|GO:0004518|GO:0051321,228.8096249,2.010542139,-63,0.002409639,73,0.333333333,0.089506744,ENSG00000020922,ENSP00000442809,4361,MRE11A,-2.867812262,H__sapiens__2_-Hs:709683,result,2.21888412,NM_005591,NP_005582,0.056823105,FALSE,H__sapiens__2_-Hs:709683,3574,MRE11,P49959
