SUID,annotation name,annotations,Betweenness unDir,Bridging unDir,Centroid unDir,Closeness unDir,Degree unDir,Eccentricity unDir,EigenVector unDir,Ensembl Gene ID,Ensembl Protein ID,Entrez Gene ID,gene name,log score,name,node type,Radiality unDir,RefSeq mRNA ID,RefSeq Protein ID,score,selected,shared name,Stress unDir,Synonym,Uniprot ID
610,negative regulation of anoikis|cellular response to peptide hormone stimulus|T cell receptor signaling pathway|neurotrophin TRK receptor signaling pathway|response to peptide hormone|epithelial cell migration|response to insulin|positive regulation of lymphocyte activation|1-phosphatidylinositol-3-kinase activity|Fc-epsilon receptor signaling pathway|platelet activation|cellular response to insulin stimulus|Fc receptor signaling pathway|phosphatidylinositol metabolic process|phosphatidylinositol-3-phosphate biosynthetic process|epidermal growth factor receptor signaling pathway|cellular response to fibroblast growth factor stimulus|insulin receptor signaling pathway|regulation of lymphocyte activation|response to peptide|fibroblast growth factor receptor signaling pathway|positive regulation of leukocyte activation|positive regulation of cell activation|regulation of T cell activation|neurotrophin signaling pathway|phosphatidylinositol-mediated signaling|phosphatidylinositol kinase activity|anoikis|immune response-regulating cell surface receptor signaling pathway|phosphatidylinositol 3-kinase activity|positive regulation of T cell activation|ERBB signaling pathway|response to fibroblast growth factor|regulation of anoikis|T cell activation|regulation of cell activation|cellular response to peptide|inositol lipid-mediated signaling|antigen receptor-mediated signaling pathway|cytosolic part|regulation of leukocyte activation|immune response-activating cell surface receptor signaling pathway|phosphatidylinositol biosynthetic process|phosphatidylinositol 3-kinase complex,GO:2000811|GO:0071375|GO:0050852|GO:0048011|GO:0043434|GO:0010631|GO:0032868|GO:0051251|GO:0016303|GO:0038095|GO:0030168|GO:0032869|GO:0038093|GO:0046488|GO:0036092|GO:0007173|GO:0044344|GO:0008286|GO:0051249|GO:1901652|GO:0008543|GO:0002696|GO:0050867|GO:0050863|GO:0038179|GO:0048015|GO:0052742|GO:0043276|GO:0002768|GO:0035004|GO:0050870|GO:0038127|GO:0071774|GO:2000209|GO:0042110|GO:0050865|GO:1901653|GO:0048017|GO:0050851|GO:0044445|GO:0002694|GO:0002429|GO:0006661|GO:0005942,497.40923917764314,3.8348758367851725,-53,0.0024630541871921183,72,0.3333333333333333,0.07948918906227118,ENSG00000121879,ENSP00000418145,5290,PIK3CA,-0.2925344603234863,H__sapiens__2_-Hs:714524,query,2.257510729613734,NM_006218,NP_006209,0.7463695244574614,FALSE,H__sapiens__2_-Hs:714524,"5,340",PI3K,PK3CA_HUMAN
611,histone acetyltransferase activity|steroid hormone receptor binding|peptidyl-lysine acetylation|N-acetyltransferase activity|protein N-terminus binding|intracellular receptor signaling pathway|protein acylation|histone acetylation|N-acyltransferase activity|androgen receptor binding|nuclear hormone receptor binding|covalent chromatin modification|transcription coactivator activity|androgen receptor signaling pathway|acetyltransferase activity|hormone receptor binding|protein acetylation|peptidyl-lysine modification|intracellular steroid hormone receptor signaling pathway|internal peptidyl-lysine acetylation|histone modification|internal protein amino acid acetylation,GO:0004402|GO:0035258|GO:0018394|GO:0008080|GO:0047485|GO:0030522|GO:0043543|GO:0016573|GO:0016410|GO:0050681|GO:0035257|GO:0016569|GO:0003713|GO:0030521|GO:0016407|GO:0051427|GO:0006473|GO:0018205|GO:0030518|GO:0018393|GO:0016570|GO:0006475,343.49851977976135,4.189970032795226,-69,0.0023752969121140144,56,0.3333333333333333,0.061823037779256684,ENSG00000124151,ENSP00000361073,8202,NCOA3,-0.15359386440501097,H__sapiens__2_-Hs:714782,query,2.1931330472103006,NM_181659,NP_858045,0.8576202604051983,FALSE,H__sapiens__2_-Hs:714782,"3,302",TRAM-1,Q9Y6Q9
613,positive regulation of organelle organization|steroid hormone receptor binding|response to estrogen|recombinational repair|transcription from RNA polymerase III promoter|DNA damage,GO:0010638|GO:0035258|GO:0043627|GO:0000725|GO:0006383|GO:0006978|GO:0072331|GO:0048545|GO:0000724|GO:0031398|GO:0071156|GO:0044389|GO:0008630|GO:0033993|GO:0016569|GO:0031625|GO:0003713|GO:0051054|GO:0030521|GO:2001022|GO:0031570|GO:0051427|GO:0006473|GO:0010948|GO:0018205|GO:0016570|GO:0006475|GO:0097305|GO:0006282|GO:0046890|GO:0030330|GO:0030522|GO:0043543|GO:0006310|GO:0010639|GO:0016573|GO:2001020|GO:0000077|GO:0006302|GO:0007050|GO:0031589|GO:0000975|GO:0005924|GO:0071158|GO:0050681|GO:0014070|GO:0045786|GO:0006359|GO:0007098|GO:0000226|GO:0044212|GO:0018394|GO:0097193|GO:0000075|GO:0031058|GO:0009314|GO:0090068|GO:0035257|GO:0001067|GO:0051297|GO:0031396|GO:0042772|GO:0016879|GO:0051865|GO:0042770|GO:0019216|GO:0030518|GO:0018393|GO:0019787|GO:0031056|GO:0033044|GO:0043966|GO:0031023|GO:0016881|GO:0005925|GO:0080135|GO:0031572|GO:0004842|GO:0000209|GO:0051052|GO:0030055|GO:0051129|GO:1902275|GO:0045739|GO:0010212,1005.189214407475,2.721032319895841,-23,0.0026666666666666666,136,0.5,0.1470368838528748,ENSG00000012048,ENSP00000467329,672,BRCA1,-0.4835000651982935,H__sapiens__2_-Hs:709587,query,2.390557939914163,NM_007300,NP_009231,0.6166213953625734,FALSE,H__sapiens__2_-Hs:709587,"12,392",RNF53,P38398
614,recombinational repair|microtubule cytoskeleton organization|centrosome cycle|negative regulation of epithelial cell proliferation|peptidyl-lysine acetylation|N-acetyltransferase activity|double-strand break repair via homologous recombination|covalent chromatin modification|centrosome organization|protein acetylation|peptidyl-lysine modification|internal peptidyl-lysine acetylation|histone modification|internal protein amino acid acetylation|histone acetyltransferase activity|protease binding|histone H3 acetylation|microtubule organizing center organization|protein acylation|histone acetylation|DNA recombination|nucleotide-excision repair|epithelial cell proliferation|double-strand break repair|single-stranded DNA binding|secretory granule|regulation of epithelial cell proliferation|N-acyltransferase activity|structure-specific DNA binding|acetyltransferase activity,GO:0000725|GO:0000226|GO:0007098|GO:0050680|GO:0018394|GO:0008080|GO:0000724|GO:0016569|GO:0051297|GO:0006473|GO:0018205|GO:0018393|GO:0016570|GO:0006475|GO:0004402|GO:0002020|GO:0043966|GO:0031023|GO:0043543|GO:0016573|GO:0006310|GO:0006289|GO:0050673|GO:0006302|GO:0003697|GO:0030141|GO:0050678|GO:0016410|GO:0043566|GO:0016407,723.4791213103177,2.908720765014606,-40,0.002551020408163265,109,0.3333333333333333,0.12384937317712803,ENSG00000139618,ENSP00000439902,675,BRCA2,-0.351640709510343,H__sapiens__2_-Hs:717201,query,2.3175965665236054,NM_000059,NP_000050,0.7035328492342633,FALSE,H__sapiens__2_-Hs:717201,"8,930",FANCD1,P51587
616,"mitochondrial outer membrane permeabilization involved in programmed cell death|signal transduction by p53 class mediator|response to X-ray|neuron apoptotic process|negative regulation of mitotic cell cycle phase transition|zinc ion binding|fibroblast proliferation|regulation of cell cycle arrest|small conjugating protein ligase binding|apoptotic mitochondrial changes|cell growth|signal transduction involved in mitotic DNA damage checkpoint|regulation of intracellular transport|protein heterodimerization activity|ubiquitin protein ligase binding|negative regulation of cell cycle process|RNA polymerase II transcription factor binding|response to gamma radiation|regulation of protein complex assembly|negative regulation of cell growth|receptor tyrosine kinase binding|T cell apoptotic process|DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest|positive regulation of neuron apoptotic process|phosphatase binding|regulation of growth|signal transduction involved in mitotic G1 DNA damage checkpoint|positive regulation of neuron death|mitochondrial membrane organization|positive regulation of leukocyte apoptotic process|signal transduction involved in mitotic DNA integrity checkpoint|positive regulation of mitochondrial membrane permeability involved in apoptotic process|intrinsic apoptotic signaling pathway|regulation of protein oligomerization|cellular response to UV|regulation of neuron death|chromatin|cellular response to oxygen levels|regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway|negative regulation of growth|cellular response to extracellular stimulus|aging|regulation of histone deacetylation|response to radiation|positive regulation of cell cycle process|response to light stimulus|regulatory region nucleic acid binding|regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway|response to UV|signal transduction involved in DNA damage checkpoint|regulation of mitotic cell cycle phase transition|G1/S transition of mitotic cell cycle|positive regulation of protein complex assembly|regulation of histone modification|cellular response to hypoxia|regulation of G1/S transition of mitotic cell cycle|regulation of cell growth|cellular response to light stimulus|protease binding|Notch signaling pathway|mitochondrion organization|nucleotide-excision repair|protein phosphatase binding|regulation of T cell apoptotic process|leukocyte apoptotic process|positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway|PML body|mitotic cell cycle checkpoint|establishment of protein localization to mitochondrion|response to nutrient levels|regulation of chromatin organization|negative regulation of G1/S transition of mitotic cell cycle|signal transduction involved in mitotic cell cycle checkpoint|damaged DNA binding|replicative senescence|positive regulation of organelle organization|nuclear chromatin|DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator|cellular response to abiotic stimulus|reactive oxygen species metabolic process|regulation of apoptotic signaling pathway|positive regulation of reactive oxygen species metabolic process|transcription factor complex|intrinsic apoptotic signaling pathway in response to DNA damage|intracellular signal transduction involved in G1 DNA damage checkpoint|positive regulation of apoptotic signaling pathway|protein insertion into mitochondrial membrane involved in apoptotic signaling pathway|cellular response to oxidative stress|response to drug|covalent chromatin modification|cellular response to ionizing radiation|response to oxidative stress|regulation of release of cytochrome c from mitochondria|regulation of lymphocyte apoptotic process|nuclear chromosome|DNA integrity checkpoint|DNA conformation change|histone modification|positive regulation of intrinsic apoptotic signaling pathway|chromatin binding|DNA damage response, signal transduction by p53 class mediator|mitotic DNA integrity checkpoint|positive regulation of programmed cell death|protein kinase binding|DNA damage checkpoint|lymphocyte apoptotic process|cellular response to nutrient levels|protein insertion into mitochondrial membrane|regulation of cell cycle phase transition|response to hypoxia|cell cycle arrest|regulatory region DNA binding|positive regulation of cell cycle arrest|regulation of mitochondrial membrane permeability|response to extracellular stimulus|nuclear chromosome part|establishment of protein localization to membrane|cellular response to decreased oxygen levels|protein oligomerization|ATP binding|negative regulation of cell cycle phase transition|negative regulation of cell cycle|protein insertion into membrane|neuron death|regulation of establishment of protein localization|transcription regulatory region DNA binding|protein N-terminus binding|positive regulation of mitochondrion organization|G1 DNA damage checkpoint|cell aging|response to endoplasmic reticulum stress|response to toxic substance|regulation of mitotic cell cycle|regulation of mitochondrial membrane permeability involved in apoptotic process|regulation of intrinsic apoptotic signaling pathway|cell cycle checkpoint|positive regulation of histone modification|response to oxygen levels|positive regulation of protein oligomerization|signal transduction involved in DNA integrity checkpoint|regulation of fibroblast proliferation|regulation of neuron apoptotic process|mitotic G1 DNA damage checkpoint|intrinsic apoptotic signaling pathway by p53 class mediator|DNA damage response, signal transduction resulting in transcription|regulation of leukocyte apoptotic process|negative regulation of hydrolase activity|signal transduction in response to DNA damage|intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator|cell-type specific apoptotic process|cellular response to radiation|positive regulation of release of cytochrome c from mitochondria|positive regulation of mitochondrial membrane permeability|release of cytochrome c from mitochondria|cellular senescence|cellular response to biotic stimulus|regulation of chromosome organization|sequence-specific DNA binding RNA polymerase II transcription factor activity|signal transduction involved in cell cycle checkpoint|nuclear body|mitochondrial outer membrane permeabilization|positive regulation of apoptotic process|regulation of mitochondrion organization|regulation of reactive oxygen species metabolic process|cellular response to external stimulus|positive regulation of cell death|regulation of protein deacetylation|replication fork|p53 binding|mitotic DNA damage checkpoint|response to decreased oxygen levels|mitotic G1/S transition checkpoint|response to ionizing radiation",GO:1902686|GO:0072331|GO:0010165|GO:0051402|GO:1901991|GO:0008270|GO:0048144|GO:0071156|GO:0044389|GO:0008637|GO:0016049|GO:1902402|GO:0032386|GO:0046982|GO:0031625|GO:0010948|GO:0001085|GO:0010332|GO:0043254|GO:0030308|GO:0030971|GO:0070231|GO:0006977|GO:0043525|GO:0019902|GO:0040008|GO:0072431|GO:1901216|GO:0007006|GO:2000108|GO:1902403|GO:1902110|GO:0097193|GO:0032459|GO:0034644|GO:1901214|GO:0000785|GO:0071453|GO:1901028|GO:0045926|GO:0031668|GO:0007568|GO:0031063|GO:0009314|GO:0090068|GO:0009416|GO:0001067|GO:1900739|GO:0009411|GO:0072422|GO:1901990|GO:0000082|GO:0031334|GO:0031056|GO:0071456|GO:2000045|GO:0001558|GO:0071482|GO:0002020|GO:0007219|GO:0007005|GO:0006289|GO:0019903|GO:0070232|GO:0071887|GO:1900740|GO:0016605|GO:0007093|GO:0072655|GO:0031667|GO:1902275|GO:2000134|GO:0072413|GO:0003684|GO:0090399|GO:0010638|GO:0000790|GO:0006978|GO:0071214|GO:0072593|GO:2001233|GO:2000379|GO:0005667|GO:0008630|GO:1902400|GO:2001235|GO:0001844|GO:0034599|GO:0042493|GO:0016569|GO:0071479|GO:0006979|GO:0090199|GO:0070228|GO:0000228|GO:0031570|GO:0071103|GO:0016570|GO:2001244|GO:0003682|GO:0030330|GO:0044774|GO:0043068|GO:0019901|GO:0000077|GO:0070227|GO:0031669|GO:0051204|GO:1901987|GO:0001666|GO:0007050|GO:0000975|GO:0071158|GO:0046902|GO:0009991|GO:0044454|GO:0090150|GO:0036294|GO:0051259|GO:0005524|GO:1901988|GO:0045786|GO:0051205|GO:0070997|GO:0070201|GO:0044212|GO:0047485|GO:0010822|GO:0044783|GO:0007569|GO:0034976|GO:0009636|GO:0007346|GO:1902108|GO:2001242|GO:0000075|GO:0031058|GO:0070482|GO:0032461|GO:0072401|GO:0048145|GO:0043523|GO:0031571|GO:0072332|GO:0042772|GO:2000106|GO:0051346|GO:0042770|GO:0042771|GO:0097285|GO:0071478|GO:0090200|GO:0035794|GO:0001836|GO:0090398|GO:0071216|GO:0033044|GO:0000981|GO:0072395|GO:0016604|GO:0097345|GO:0043065|GO:0010821|GO:2000377|GO:0071496|GO:0010942|GO:0090311|GO:0005657|GO:0002039|GO:0044773|GO:0036293|GO:0044819|GO:0010212,2248.889190564322,3.4662535080776777,23,0.002840909090909091,163,0.5,0.15792896337506543,ENSG00000141510,ENSP00000473895,7157,TP53,-0.6329049040115117,H__sapiens__2_-Hs:717482,query,2.4892703862660945,NM_001276761,NP_001263690,0.5310469179025878,FALSE,H__sapiens__2_-Hs:717482,"22,108",p53,P53_HUMAN
617,"recombinational repair|cellular response to abiotic stimulus|reciprocal meiotic recombination|double-strand break repair via homologous recombination|reciprocal DNA recombination|DNA-dependent ATPase activity|DNA-dependent DNA replication|cellular response to ionizing radiation|positive regulation of DNA metabolic process|regulation of DNA recombination|nuclear chromosome|DNA conformation change|DNA replication|regulation of DNA repair|DNA recombination|regulation of response to DNA damage stimulus|double-strand break repair|single-stranded DNA binding|DNA ligation|ATPase activity|protein-DNA complex assembly|organelle fission|response to organic cyclic compound|protein oligomerization|ATP binding|cellular process involved in reproduction|mitotic recombination|DNA duplex unwinding|DNA geometric change|condensed nuclear chromosome|meiosis I|response to radiation|response to alkaloid|double-stranded DNA binding|meiotic nuclear division|cellular response to radiation|nuclear body|protein C-terminus binding|ATPase activity, coupled|regulation of double-strand break repair via homologous recombination|nuclear division|PML body|regulation of cellular response to stress|condensed chromosome|protein-DNA complex subunit organization|regulation of DNA metabolic process|structure-specific DNA binding|regulation of double-strand break repair|response to ionizing radiation|meiotic cell cycle",GO:0000725|GO:0071214|GO:0007131|GO:0000724|GO:0035825|GO:0008094|GO:0006261|GO:0071479|GO:0051054|GO:0000018|GO:0000228|GO:0071103|GO:0006260|GO:0006282|GO:0006310|GO:2001020|GO:0006302|GO:0003697|GO:0006266|GO:0016887|GO:0065004|GO:0048285|GO:0014070|GO:0051259|GO:0005524|GO:0048610|GO:0006312|GO:0032508|GO:0032392|GO:0000794|GO:0007127|GO:0009314|GO:0043279|GO:0003690|GO:0007126|GO:0071478|GO:0016604|GO:0008022|GO:0042623|GO:0010569|GO:0000280|GO:0016605|GO:0080135|GO:0000793|GO:0071824|GO:0051052|GO:0043566|GO:2000779|GO:0010212|GO:0051321,291.7886777469189,2.2441486258245638,-62,0.0024154589371980675,79,0.3333333333333333,0.09370842657065064,ENSG00000051180,ENSP00000454176,5888,RAD51,-0.41574295598941796,H__sapiens__2_-Hs:709973,query,2.223175965665236,NM_133487,NP_597994,0.6598498591417568,FALSE,H__sapiens__2_-Hs:709973,"3,732",RECA,RAD51_HUMAN
619,"purine NTP-dependent helicase activity|recombinational repair|chromosome, telomeric region|signal transduction by p53 class mediator|double-strand break repair via homologous recombination|negative regulation of mitotic cell cycle phase transition|anatomical structure homeostasis|DNA-dependent ATPase activity|DNA-dependent DNA replication|regulation of protein autophosphorylation|nuclear chromosome|DNA integrity checkpoint|DNA conformation change|negative regulation of cell cycle process|DNA replication|DNA damage response, signal transduction by p53 class mediator|helicase activity|mitotic DNA integrity checkpoint|DNA recombination|DNA damage checkpoint|double-strand break repair|regulation of DNA replication|regulation of cell cycle phase transition|cell cycle arrest|ATPase activity|nuclear chromosome part|negative regulation of cell cycle phase transition|negative regulation of cell cycle|protein N-terminus binding|DNA duplex unwinding|regulation of mitotic cell cycle|nuclear chromosome, telomeric region|cell cycle checkpoint|telomere maintenance|DNA geometric change|positive regulation of protein autophosphorylation|regulation of mitotic cell cycle phase transition|regulation of DNA-dependent DNA replication|signal transduction in response to DNA damage|DNA helicase activity|telomere organization|site of double-strand break|nuclear body|ATPase activity, coupled|protein autophosphorylation|PML body|mitotic cell cycle checkpoint|G2 DNA damage checkpoint|ATP-dependent helicase activity|regulation of DNA metabolic process|ATP-dependent DNA helicase activity|damaged DNA binding|mitotic DNA damage checkpoint",GO:0070035|GO:0000725|GO:0000781|GO:0072331|GO:0000724|GO:1901991|GO:0060249|GO:0008094|GO:0006261|GO:0031952|GO:0000228|GO:0031570|GO:0071103|GO:0010948|GO:0006260|GO:0030330|GO:0004386|GO:0044774|GO:0006310|GO:0000077|GO:0006302|GO:0006275|GO:1901987|GO:0007050|GO:0016887|GO:0044454|GO:1901988|GO:0045786|GO:0047485|GO:0032508|GO:0007346|GO:0000784|GO:0000075|GO:0000723|GO:0032392|GO:0031954|GO:1901990|GO:0090329|GO:0042770|GO:0003678|GO:0032200|GO:0035861|GO:0016604|GO:0042623|GO:0046777|GO:0016605|GO:0007093|GO:0031572|GO:0008026|GO:0051052|GO:0004003|GO:0003684|GO:0044773,214.69916455379547,3.896848316161694,-80,0.0022988505747126436,46,0.3333333333333333,0.05597260303359657,ENSG00000104320,ENSP00000430983,4683,NBN,-2.8088716652284136,H__sapiens__2_-Hs:712195,result,2.133047210300429,NM_002485,NP_002476,0.06027296211780403,FALSE,H__sapiens__2_-Hs:712195,"2,328",NBS,O60934
620,regulation of autophagy|nuclear membrane|nuclear envelope|autophagy,GO:0010506|GO:0031965|GO:0005635|GO:0006914,234.2597007744931,4.041482458670306,-74,0.002347417840375587,48,0.3333333333333333,0.06293649283181316,ENSG00000023287,ENSP00000445960,9821,RB1CC1,-0.1110480516821029,H__sapiens__2_-Hs:709705,query,2.171673819742489,NM_014781,NP_055596,0.8948957466499401,FALSE,H__sapiens__2_-Hs:709705,"2,944",KIAA0203,RBCC1_HUMAN
622,"recombinational repair|cellular response to abiotic stimulus|chromosome, telomeric region|double-strand break repair via homologous recombination|protein serine/threonine kinase activity|regulation of transcription from RNA polymerase II promoter in response to stress|covalent chromatin modification|regulation of DNA recombination|nuclear chromosome|DNA integrity checkpoint|protein acetylation|negative regulation of cell cycle process|peptidyl-lysine modification|regulation of nuclear division|histone modification|internal protein amino acid acetylation|DNA replication|regulation of DNA repair|protein acylation|DNA recombination|negative regulation of organelle organization|histone acetylation|regulation of response to DNA damage stimulus|DNA damage checkpoint|double-strand break repair|mitosis|organelle fission|peptidyl-threonine modification|negative regulation of cell cycle|centrosome cycle|microtubule cytoskeleton organization|peptidyl-lysine acetylation|cellular response to UV|cell aging|chromatin|regulation of mitotic cell cycle|cell cycle checkpoint|chromatin remodeling|condensed nuclear chromosome|aging|response to radiation|response to light stimulus|centrosome organization|regulation of DNA-templated transcription in response to stress|response to UV|regulation of cell division|cellular response to mechanical stimulus|internal peptidyl-lysine acetylation|cellular response to radiation|regulation of histone modification|regulation of chromosome organization|cellular response to light stimulus|histone H3 acetylation|microtubule organizing center organization|peptidyl-threonine phosphorylation|regulation of double-strand break repair via homologous recombination|nuclear division|regulation of cellular response to stress|condensed chromosome|G2 DNA damage checkpoint|regulation of DNA metabolic process|regulation of mitosis|negative regulation of cellular component organization|cellular response to external stimulus|regulation of chromatin organization|replicative senescence|response to mechanical stimulus|regulation of double-strand break repair",GO:0000725|GO:0071214|GO:0000781|GO:0000724|GO:0004674|GO:0043618|GO:0016569|GO:0000018|GO:0000228|GO:0031570|GO:0006473|GO:0010948|GO:0018205|GO:0051783|GO:0016570|GO:0006475|GO:0006260|GO:0006282|GO:0043543|GO:0006310|GO:0010639|GO:0016573|GO:2001020|GO:0000077|GO:0006302|GO:0007067|GO:0048285|GO:0018210|GO:0045786|GO:0007098|GO:0000226|GO:0018394|GO:0034644|GO:0007569|GO:0000785|GO:0007346|GO:0000075|GO:0006338|GO:0000794|GO:0007568|GO:0009314|GO:0009416|GO:0051297|GO:0043620|GO:0009411|GO:0051302|GO:0071260|GO:0018393|GO:0071478|GO:0031056|GO:0033044|GO:0071482|GO:0043966|GO:0031023|GO:0018107|GO:0010569|GO:0000280|GO:0080135|GO:0000793|GO:0031572|GO:0051052|GO:0007088|GO:0051129|GO:0071496|GO:1902275|GO:0090399|GO:0009612|GO:2000779,537.725603096112,1.9578977651095857,-35,0.002583979328165375,124,0.3333333333333333,0.1414279906063151,ENSG00000149554,ENSP00000442317,1111,CHEK1,-3.1665012658999627,H__sapiens__2_-Hs:718595,result,2.3390557939914163,NM_001274,NP_001265,0.04215081470980975,FALSE,H__sapiens__2_-Hs:718595,"7,278",CHK1,O14757
624,"purine NTP-dependent helicase activity|recombinational repair|chromosome, telomeric region|reciprocal meiotic recombination|nucleic acid phosphodiester bond hydrolysis|double-strand break repair via homologous recombination|reciprocal DNA recombination|anatomical structure homeostasis|deoxyribonuclease activity|negative regulation of DNA replication|DNA-dependent ATPase activity|DNA-dependent DNA replication|regulation of DNA recombination|regulation of protein autophosphorylation|DNA conformation change|negative regulation of cell cycle process|DNA replication|3'-5' exonuclease activity|helicase activity|DNA recombination|cell cycle DNA replication|double-strand break repair|telomere maintenance via telomere lengthening|regulation of DNA replication|positive regulation of type I interferon production|ATPase activity|RNA-dependent DNA replication|organelle fission|non-recombinational repair|cellular process involved in reproduction|mitotic recombination|DNA duplex unwinding|double-strand break repair via nonhomologous end joining|telomere maintenance|DNA geometric change|positive regulation of protein autophosphorylation|meiosis I|double-stranded DNA binding|meiotic nuclear division|DNA catabolic process, endonucleolytic|DNA catabolic process|regulation of DNA-dependent DNA replication|DNA helicase activity|positive regulation of cytokine production|type I interferon production|telomere organization|site of double-strand break|negative regulation of DNA metabolic process|protein C-terminus binding|ATPase activity, coupled|regulation of type I interferon production|protein autophosphorylation|exonuclease activity|nuclear division|telomere maintenance via telomerase|ATP-dependent helicase activity|regulation of DNA metabolic process|structure-specific DNA binding|ATP-dependent DNA helicase activity|endodeoxyribonuclease activity|nuclease activity|meiotic cell cycle",GO:0070035|GO:0000725|GO:0000781|GO:0007131|GO:0090305|GO:0000724|GO:0035825|GO:0060249|GO:0004536|GO:0008156|GO:0008094|GO:0006261|GO:0000018|GO:0031952|GO:0071103|GO:0010948|GO:0006260|GO:0008408|GO:0004386|GO:0006310|GO:0044786|GO:0006302|GO:0010833|GO:0006275|GO:0032481|GO:0016887|GO:0006278|GO:0048285|GO:0000726|GO:0048610|GO:0006312|GO:0032508|GO:0006303|GO:0000723|GO:0032392|GO:0031954|GO:0007127|GO:0003690|GO:0007126|GO:0000737|GO:0006308|GO:0090329|GO:0003678|GO:0001819|GO:0032606|GO:0032200|GO:0035861|GO:0051053|GO:0008022|GO:0042623|GO:0032479|GO:0046777|GO:0004527|GO:0000280|GO:0007004|GO:0008026|GO:0051052|GO:0043566|GO:0004003|GO:0004520|GO:0004518|GO:0051321,228.80962485252635,2.010542139020075,-63,0.0024096385542168677,73,0.3333333333333333,0.08950674415384835,ENSG00000020922,ENSP00000442809,4361,MRE11A,-2.867812262330715,H__sapiens__2_-Hs:709683,result,2.218884120171674,NM_005591,NP_005582,0.056823104742427244,FALSE,H__sapiens__2_-Hs:709683,"3,574",MRE11,P49959
